,DESTINATION,KEYWORDS,ORIGIN
30031,BNA,entire,EWR
30032,BNA,flight,EWR
30033,BNA,great,EWR
30034,BNA,experience,EWR
30035,MSN,delayed,EWR
30036,MSN,staffing,EWR
30037,MSN,issue,EWR
30038,MSN,weather,EWR
30039,MSN,completely,EWR
30040,MSN,control,EWR
30041,MSN,flat,EWR
30042,MSN,failed,EWR
30043,MSN,traveling,EWR
30044,MSN,6,EWR
30045,MSN,month,EWR
30046,MSN,old,EWR
30047,MSN,infant,EWR
30048,MSN,torture,EWR
30049,MSN,unnecessary,EWR
30050,MSN,multihour,EWR
30051,MSN,delay,EWR
30052,MSN,plan,EWR
30053,MSN,landed,EWR
30054,MSN,sprint,EWR
30055,MSN,rental,EWR
30056,MSN,counter,EWR
30057,MSN,45,EWR
30058,MSN,past,EWR
30059,MSN,closing,EWR
30060,MSN,time,EWR
30061,MSN,collect,EWR
30062,MSN,car,EWR
30063,MSN,hotel,EWR
30064,MSN,offer,EWR
30065,MSN,type,EWR
30066,MSN,alternative,EWR
30067,MSN,despite,EWR
30068,MSN,delay,EWR
30069,MSN,100,EWR
30070,MSN,fault,EWR
30071,IND,flight,EWR
30072,IND,served,EWR
30073,IND,purpose,EWR
30074,IND,bring,EWR
30075,IND,home,EWR
30076,IND,delayed,EWR
30077,IND,hours,EWR
30078,IND,flow,EWR
30079,IND,quite,EWR
30080,IND,often,EWR
30081,IND,especially,EWR
30082,IND,overseas,EWR
30083,IND,meal,EWR
30084,IND,service,EWR
30085,IND,economy,EWR
30086,IND,cabin,EWR
30087,IND,extremely,EWR
30088,IND,disappointed,EWR
30089,IND,food,EWR
30090,IND,quality,EWR
30091,IND,quantity,EWR
30092,IND,compare,EWR
30093,IND,ana,EWR
30094,IND,tried,EWR
30095,IND,use,EWR
30096,IND,ana,EWR
30097,IND,instead,EWR
30098,IND,ua,EWR
30099,IND,ua,EWR
30100,IND,spend,EWR
30101,IND,dollar,EWR
30102,IND,meal,EWR
30103,IND,replace,EWR
30104,IND,food,EWR
30105,IND,director,EWR
30106,IND,give,EWR
30107,IND,option,EWR
30108,IND,bring,EWR
30109,IND,food,EWR
30110,IND,getting,EWR
30111,IND,worse,EWR
30112,IND,understand,EWR
30113,IND,ad,EWR
30114,IND,improvement,EWR
30115,LAX,group,EWR
30116,LAX,premium,EWR
30117,LAX,boarding,EWR
30118,LAX,business,EWR
